"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","enej.lavienne86.fr/51.254.226.174","443","INFO","HTTP","",""
"pre_128cipher","enej.lavienne86.fr/51.254.226.174","443","INFO","No 128 cipher limit bug","",""
"SSLv2","enej.lavienne86.fr/51.254.226.174","443","OK","not offered","",""
"SSLv3","enej.lavienne86.fr/51.254.226.174","443","OK","not offered","",""
"TLS1","enej.lavienne86.fr/51.254.226.174","443","INFO","not offered","",""
"TLS1_1","enej.lavienne86.fr/51.254.226.174","443","INFO","not offered","",""
"TLS1_2","enej.lavienne86.fr/51.254.226.174","443","OK","offered","",""
"TLS1_3","enej.lavienne86.fr/51.254.226.174","443","OK","offered with final","",""
"ALPN_HTTP2","enej.lavienne86.fr/51.254.226.174","443","OK","h2","",""
"ALPN","enej.lavienne86.fr/51.254.226.174","443","INFO","http/1.1","",""
"cipherlist_NULL","enej.lavienne86.fr/51.254.226.174","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","enej.lavienne86.fr/51.254.226.174","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","enej.lavienne86.fr/51.254.226.174","443","OK","not offered","","CWE-327"
"cipherlist_LOW","enej.lavienne86.fr/51.254.226.174","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","enej.lavienne86.fr/51.254.226.174","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","enej.lavienne86.fr/51.254.226.174","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","enej.lavienne86.fr/51.254.226.174","443","INFO","not offered","",""
"cipherlist_STRONG_FS","enej.lavienne86.fr/51.254.226.174","443","OK","offered","",""
"cipher_order-tls1_2","enej.lavienne86.fr/51.254.226.174","443","OK","server","",""
"cipherorder_TLSv1_2","enej.lavienne86.fr/51.254.226.174","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","enej.lavienne86.fr/51.254.226.174","443","OK","server","",""
"FS","enej.lavienne86.fr/51.254.226.174","443","OK","offered","",""
"FS_ciphers","enej.lavienne86.fr/51.254.226.174","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","enej.lavienne86.fr/51.254.226.174","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","enej.lavienne86.fr/51.254.226.174","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","enej.lavienne86.fr/51.254.226.174","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","enej.lavienne86.fr/51.254.226.174","443","INFO","yes","",""
"sessionresumption_ticket","enej.lavienne86.fr/51.254.226.174","443","INFO","not supported","",""
"sessionresumption_ID","enej.lavienne86.fr/51.254.226.174","443","INFO","supported","",""
"TLS_timestamp","enej.lavienne86.fr/51.254.226.174","443","INFO","random","",""
"certificate_compression","enej.lavienne86.fr/51.254.226.174","443","INFO","none","",""
"clientAuth","enej.lavienne86.fr/51.254.226.174","443","INFO","none","",""
"cert_numbers","enej.lavienne86.fr/51.254.226.174","443","INFO","1","",""
"cert_signatureAlgorithm","enej.lavienne86.fr/51.254.226.174","443","OK","SHA256 with RSA","",""
"cert_keySize","enej.lavienne86.fr/51.254.226.174","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","enej.lavienne86.fr/51.254.226.174","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","enej.lavienne86.fr/51.254.226.174","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","enej.lavienne86.fr/51.254.226.174","443","INFO","03278F72BA1B3A40EC1B8E78A26AB9A7356B","",""
"cert_serialNumberLen","enej.lavienne86.fr/51.254.226.174","443","INFO","18","",""
"cert_fingerprintSHA1","enej.lavienne86.fr/51.254.226.174","443","INFO","F364E96F5E10BD6C13D2358F3D4938FDF319D484","",""
"cert_fingerprintSHA256","enej.lavienne86.fr/51.254.226.174","443","INFO","1704021C5818793967E0F377E129EAAE5257DA8E49EE46F3C15CAF0EFCAB935F","",""
